Title,Author,Avg Rating,Rating Count,Review Count,Cover Image,Description,Genre
Ways of Seeing,John Berger,3.93,"410,940 ratings","3,714 reviews",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1703328414i/2784.jpg,"John Berger’s Classic Text on Art

Ways of Seeing is one of the most stimulating and the most influential books on art in any language. First published in 1972, it was based on the BBC television series about which the (London) Sunday Times a critic commented: ""This is an eye-opener in more ways than one: by concentrating on how we look at paintings . . . he will almost certainly change the way you look at pictures."" By now he has.

""Berger has the ability to cut right through the mystification of the professional art critics . . . He is a liberator of images: and once we have allowed the paintings to work on us directly, we are in a much better position to make a meaningful evaluation"" —Peter Fuller,

""The influence of the series and the book . . . was enormous . . . It opened up for general attention to areas of cultural study that are now commonplace"" —Geoff Dyer in .
Show more",art
The Story of Art,E.H. Gombrich,3.96,"442,394 ratings","1,652 reviews",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1389274650i/222078.jpg,"Renowned not only as the best concise introduction to art history, but also as a classic of art historical literature, this book reflects the vast knowledge, insights, and expertise of one of this century's greatest art historians and thinkers. Extensively illustrated, it treats the history of art -- both chronologically and geographically -- as a continuous unfolding story. Offers a vivid, enthusiastic, and interpretive narrative written in direct, straightforward language with technical terms always explained when they are introduced. KEY TOPICS: Focuses on the most significant works of Western art. Considers each work of art in its context: shows how art reflects the historical setting, the artist's intentions, and the values of that civilization, and how each artist built upon, or sometimes reacted against, the style of his/her predecessors. Contains chronological charts, maps, and notes on art books. Illustrates all works that are discussed. Features a new design with each illustration appearing on the same spread as the narrative that discusses it.
Show more",art
Steal Like an Artist: 10 Things Nobody Told You About Being Creative,Austin Kleon,3.96,"318,711 ratings","9,909 reviews",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1404576602i/13099738.jpg,"You don’t need to be a genius, you just need to be yourself. That’s the message from Austin Kleon, a young writer and artist who knows that creativity is everywhere, creativity is for everyone. A manifesto for the digital age, Steal Like an Artist is a guide whose positive message, graphic look and illustrations, exercises, and examples will put readers directly in touch with their artistic side.",art
The New Drawing on the Right Side of the Brain,Betty Edwards,3.87,"368,873 ratings","1,065 reviews",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348133732i/627206.jpg,"When Drawing on the Right Side of the Brain was first published in 1979, it hit the New York Times bestseller list within two weeks and stayed there for more than a year. In 1989, when Dr. Betty Edwards revised the book, it went straight to the Times list again. Now Dr. Edwards celebrates the twentieth anniversary of her classic book with a second revised edition.Over the last decade, Dr. Edwards has refined her material through teaching hundreds of workshops and seminars. Truly The New Drawing on the Right Side of the Brain, this edition includes:


the very latest developments in brain research
new material on using drawing techniques in the corporate world and in education
instruction on self-expression through drawing
an updated section on using color
detailed information on using the five basic skills of drawing for problem solving
Show more",art
The Artist's Way: A Spiritual Path to Higher Creativity,Julia Cameron,3.95,"115,568 ratings","5,020 reviews",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1440952332i/615570.jpg,"The Artist’s Way is the seminal book on the subject of creativity. An international bestseller, millions of readers have found it to be an invaluable guide to living the artist’s life. Still as vital today—or perhaps even more so—than it was when it was first published one decade ago, it is a powerfully provocative and inspiring work. In a new introduction to the book, Julia Cameron reflects upon the impact of The Artist’s Way and describes the work she has done during the last decade and the new insights into the creative process that she has gained. Updated and expanded, this anniversary edition reframes The Artist’s Way for a new century.
Show more",art
Art and Fear,David Bayles,3.78,"98,416 ratings","1,673 reviews",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1442712080i/187633.jpg,Korean translation of Art and Fear by David Bayles,art
Wall and Piece,Banksy,3.85,"231,081 ratings","1,054 reviews",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327904853i/114683.jpg,"Banksy, Britain's now-legendary ""guerilla"" street artist, has painted the walls, streets, and bridges of towns and cities throughout the world. Not only did he smuggle his pieces into four of New York City's major art museums, he's also ""hung"" his work at London's Tate Gallery and adorned Israel's West Bank barrier with satirical images. Banksy's identity remains unknown, but his work is unmistakable with prints selling for as much as $45,000.",art
The Art Book,Phaidon Press,3.86,"162,589 ratings",374 reviews,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1411210646i/567616.jpg,"An A to Z guide to 500 great painters and sculptors from medieval to modern times, it debunks art historical classifications by throwing together brilliant examples of all periods, schools, visions and techniques. Each artist is represented by a full-page colour plate of a definitive work, accompanied by explanatory and illuminating information on the image and its creator. Glossaries of artistic movements and technical terms are included, making this a valuable work of reference as well as a feast for the eyes. By breaking with traditional classifications, The Art Book presents a fresh and original approach to art: an unparalleled visual sourcebook and a celebration of our rich and multi-faceted culture.
Show more",art
Girl with a Pearl Earring,Tracy Chevalier,3.93,"762,940 ratings","13,442 reviews",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327197580i/2865.jpg,"With precisely 35 canvases to his credit, the Dutch painter Johannes Vermeer represents one of the great enigmas of 17th-century art. The meager facts of his biography have been gleaned from a handful of legal documents. Yet Vermeer's extraordinary paintings of domestic life, with their subtle play of light and texture, have come to define the Dutch golden age. His portrait of the anonymous Girl with a Pearl Earring has exerted a particular fascination for centuries—and it is this magnetic painting that lies at the heart of Tracy Chevalier's second novel of the same title.

centers on Vermeer's prosperous Delft household during the 1660s. When Griet, the novel's quietly perceptive heroine, is hired as a servant, turmoil follows. First, the 16-year-old narrator becomes increasingly intimate with her master. Then Vermeer employs her as his assistant—and ultimately has Griet sit for him as a model.
Show more",art
The Letters of Vincent van Gogh,Vincent van Gogh,4.1,"105,498 ratings",768 reviews,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1657544597i/395233.jpg,"A new selection of post-impressionist painter Vincent Van Gough's letters, The Letters of Vincent van Gogh put a human face on one of the most haunting figures in modern Western culture. In this Penguin Classics edition, the letters are selected and edited by Ronald de Leeuw, and translated by Arnold Pomerans in Penguin Classics.

Few artists' letters are as self-revelatory as Vincent van Gogh's, and this selection, spanning his artistic career, sheds light on every facet of the life and work of this complex and tortured man. Engaging candidly and movingly with his religious struggles, his ill-fated search for love, his attacks of mental illness and his relation with his brother Theo, the letters contradict the popular myth of van Gogh as an anti-social madman and a martyr to art, showing instead a man of great emotional and spiritual depths. Above all, they stand as an intense personal narrative of artistic development and a unique account of the process of creation.

The letters are linked by explanatory biographical passages, revealing van Gogh's inner journey as well as the outer facts of his life. This edition also includes the drawings that originally illustrated the letters.

Vincent Willem van Gogh (1853-1890) was born in Holland. In 1885 he painted his first masterpiece, a haunting scene of domestic poverty. A year later he began studying in Paris, where he met Gauguin, Toulouse-Lautrec and Seurat, who became very important influences on his work. In 1888 he left Paris for the Provencal landscape at Arles, the subject of many of his best works, including .

If you enjoyed , you might also like , available in Penguin Modern Classics.

'If there was ever any doubt that Van Gogh's letters belong beside those great classics of artistic self-revelation, Cellini's autobiography and Delacroix's journal, this excellent new edition dispels it'
Show more",art
